"box_folder","subject","date","year"
"box 142, folder 12","San Diego Republican Associates Address, (no text or notes) June 24, 1964","June 24, 1964","1964"
"box 142, folder 13","Los Angeles Republican Associates Address, (no text or notes) June 30, 1964","June 30, 1964","1964"
"box 142, folder 14","Channel City Club Address, (no text or notes) July 7, 1964","July 7, 1964","1964"
"box 142, folder 15","California Commonwealth Club Address July 10, 1964","July 10, 1964","1964"
"box 142, folder 16","American Bar Association Address August 10, 1964","August 10, 1964","1964"
"box 142, folder 17","Henry George School Address August 31, 1964","August 31, 1964","1964"
"box 142, folder 18","American Life Convention Address October 15, 1964","October 15, 1964","1964"
"box 142, folder 19","Industrial Relations Society Address October 22, 1964","October 22, 1964","1964"
"box 142, folder 20","Dutch Treat Club Address October 27, 1964","October 27, 1964","1964"
"box 143, folder 1","Republican Women of Pennsylvania Address February 9, 1966","February 9, 1966","1966"
"box 143, folder 2","ABC-TV Appearance, (no text or notes) February 11, 1966","February 11, 1966","1966"
"box 143, folder 3","Claremont College New Deal Seminar February 23, 1966","February 23, 1966","1966"
"box 143, folder 4","ABC Appearance, (?) May 1966","May 1966","1966"
"box 143, folder 5","Claremont College Address June 5, 1966","June 5, 1966","1966"
"box 143, folder 6","Dutch Treat Club Address November 15, 1966","November 15, 1966","1966"
"box 143, folder 7","Shippensburg State College Address March 30, 1967","March 30, 1967","1967"
"box 143, folder 8","Harvard Address April 12, 1967","April 12, 1967","1967"
"box 143, folder 9","Johns Hopkins University Address, (no text or notes) April 18, 1967","April 18, 1967","1967"
"box 143, folder 10","National Student Leadership Conference Address April 22, 1967","April 22, 1967","1967"
"box 143, folder 11","Organization of American Historians Meeting, (Moley could not attend; Rosen read his comments) (comments not included) April 28, 1967","April 28, 1967","1967"
"box 143, folder 12","Warner Library Address May 25, 1967","May 25, 1967","1967"
"box 143, folder 13","Yale Political Union Address September 26, 1967","September 26, 1967","1967"
"box 143, folder 14","New York Address November 8, 1967","November 8, 1967","1967"
"box 143, folder 15","BBC Interview, (no text or notes) March 13, 1968","March 13, 1968","1968"
"box 143, folder 16","Speech Association of the Eastern States Address, (no text or notes) April 5, 1968","April 5, 1968","1968"
